Date,Index,Winner,Looser,Score,Tournament,Stage
2020-01-12,1,lucky_looser,bg_grab,6:5,,
2020-01-16,1,lucky_looser,bg_grab,5:1,,
2020-02-13,1,lucky_looser,lisouski,4:2,,
2020-02-13,2,lucky_looser,lisouski,6:1,,
2020-02-13,3,lucky_looser,lisouski,5:1,,
2020-03-05,1,uladbohdan,iraborsch,2:0,,
2020-03-05,2,lucky_looser,uladbohdan,2:0,,
2020-03-05,3,lucky_looser,iraborsch,2:0,,
2020-03-05,4,uladbohdan,iraborsch,1:1,,
2020-03-05,5,lucky_looser,uladbohdan,2:0,,
2020-03-09,1,lucky_looser,lisouski,2:0,,
2020-03-09,2,lucky_looser,iraborsch,2:0,,
2020-03-09,3,lucky_looser,iraborsch,2:0,,
2020-03-09,4,lucky_looser,lisouski,2:0,,
2020-03-09,5,lisouski,iraborsch,2:0,,
2020-03-09,6,lucky_looser,lisouski,1:1,,
2020-03-09,7,lucky_looser,iraborsch,2:0,,
2020-03-09,8,lucky_looser,lisouski,1:0,,
2020-03-09,9,lisouski,iraborsch,2:0,,
2020-03-10,1,lucky_looser,bg_grab,5:2,,
2020-03-13,1,lucky_looser,bg_grab,1:1,,
2020-03-13,2,lisouski,iraborsch,2:0,,
2020-03-13,3,bg_grab,klicunou,2:0,,
2020-03-13,4,lucky_looser,lisouski,2:0,,
2020-03-13,5,lucky_looser,bg_grab,2:0,,
2020-03-13,6,klicunou,iraborsch,2:0,,
2020-03-13,7,lucky_looser,iraborsch,2:0,,
2020-03-13,8,lisouski,klicunou,1:1,,
2020-03-13,9,bg_grab,iraborsch,2:0,,
2020-03-13,10,lucky_looser,klicunou,3:0,,
2020-03-13,11,lisouski,bg_grab,2:0,,
